DOI,Latency_sec
10.7754/Clin.Lab.2016.161018,0.335
10.1371/journal.pone.0286550,0.334
10.1371/journal.pone.0254465,0.308
10.1371/journal.pone.0241685,0.341
10.1371/journal.pone.0239965,0.311
10.1371/journal.pone.0234145,0.339
10.1371/journal.pone.0221858,0.311
10.1371/journal.pone.0214212,0.296
10.1371/journal.pone.0196495,0.277
10.1371/journal.pone.0192556,0.286
10.1371/journal.pone.0192295,0.278
10.1371/journal.pone.0169436,0.279
10.1371/journal.pone.0168453,0.307
10.1371/journal.pone.0164710,0.285
10.1371/journal.pone.0122348,0.303
10.1371/journal.pone.0118972,0.308
10.1371/journal.pone.0112345,0.343
10.1371/journal.pone.0108814,0.281
10.1371/journal.pone.0108633,0.298
10.1371/journal.pone.0108537,0.306
10.1371/journal.pone.0105290,0.294
10.1371/journal.pone.0085544,0.308
10.1371/journal.pone.0083784,0.306
10.1371/journal.pone.0077302,0.309
10.1371/journal.pone.0064132,0.287
10.1371/journal.pone.0053571,0.296
10.1371/journal.pone.0053475,0.297
10.1371/journal.pone.0049683,0.28
10.1371/journal.pone.0023788,0.292
10.1371/journal.pone.0013488,0.278
10.1371/journal.pone.0008018,0.282
10.1371/journal.pone.0004032,0.285
10.1371/journal.pone.0000796,0.318
10.1371/journal.pone.0000737,0.278
10.1371/journal.pgen.1000807,0.326
10.1371/journal.pbio.3000218,0.304
10.1021/bi201270q,0.289
