DOI,Latency_sec
10.1001/jamanetworkopen.2024.55475,0.338
10.1001/jamanetworkopen.2024.61639,0.354
10.1001/jamanetworkopen.2025.0107,0.293
10.1001/jamanetworkopen.2025.0250,0.365
10.1001/jamanetworkopen.2025.0562,0.349
10.1001/jamaneurol.2024.4631,0.385
10.1001/jamasurg.2024.4800,0.35
10.1002/acn3.52313,0.283
10.1002/ana.27157,0.312
10.1002/ana.27250,0.287
10.1002/aoc.70332,0.304
10.1002/app.57284,0.299
10.1002/cam4.70458,0.332
10.1002/chem.202404002,0.298
10.1002/cpt.3528,0.296
10.1002/cpt.3536,0.309
10.1002/cpt.3612,0.324
10.1002/cpt.3640,0.291
10.1002/elps.202400192,0.295
10.1002/oby.24186,0.305
10.1002/oby.24207,0.292
10.1002/oby.24327,0.283
10.1002/prp2.70092,0.273
10.1002/psp4.13253,0.285
10.1002/psp4.13254,0.28
10.1002/psp4.13264,0.285
10.1002/psp4.13286,0.309
10.1002/psp4.13299,0.303
10.1002/psp4.70047,0.307
10.1007/s00259-024-07009-w,0.342
10.1007/s00345-025-05507-6,0.322
10.1007/s00401-025-02853-y,0.299
10.1007/s10854-025-15418-2,0.29
10.1007/s10856-025-06862-x,0.29
10.1007/s10856-025-06872-9,0.295
10.1007/s10856-025-06901-7,0.338
10.1007/s11130-025-01345-4,0.288
10.1007/s11243-025-00632-y,0.286
10.1007/s11243-025-00634-w,0.283
10.1007/s11243-025-00635-9,0.284
10.1007/s11837-025-07153-0,0.299
10.1007/s12247-025-10011-w,0.29
10.1007/s12664-025-01750-2,0.291
10.1007/s12672-025-02718-6,0.295
10.1007/s12672-025-02779-7,0.29
10.1007/s12672-025-02881-w,0.288
10.1007/s12672-025-02987-1,0.292
10.1007/s13318-025-00945-4,0.282
10.1007/s13318-025-00948-1,0.274
10.1007/s40262-025-01481-9,0.308
10.1007/s40262-025-01495-3,0.292
10.1007/s40262-025-01496-2,0.312
10.1007/s40262-025-01509-0,0.304
10.1007/s40264-025-01549-2,0.297
10.1007/s40265-024-02133-1,0.292
10.1007/s40268-025-00506-9,0.283
10.1007/s42452-025-07523-y,0.283
10.1016/j.ab.2025.115903,0.284
10.1016/j.abd.2024.09.003,0.278
10.1016/j.aca.2025.344381,0.291
10.1016/j.adro.2025.101743,0.281
10.1016/j.adro.2025.101812,0.293
10.1016/j.ahj.2025.04.020,0.279
10.1016/j.ahj.2025.04.027,0.298
10.1016/j.ahj.2025.06.004,0.355
10.1016/j.anai.2025.02.010,0.334
10.1016/j.antiviral.2025.106245,0.306
10.1016/j.avsg.2025.03.027,0.306
10.1016/j.avsg.2025.06.027,0.296
10.1016/j.avsurg.2025.100371,0.302
10.1016/j.bbadis.2025.167972,0.317
10.1016/j.bbrep.2025.101951,0.285
10.1016/j.bbrep.2025.102113,0.279
10.1016/j.bioactmat.2024.07.023,0.288
10.1016/j.bioactmat.2025.06.040,0.283
10.1016/j.bpj.2025.03.007,0.293
10.1016/j.bpj.2025.06.006,0.281
10.1016/j.carbpol.2025.123830,0.311
10.1016/j.cardfail.2025.02.014,0.373
10.1016/j.cca.2025.120487,0.286
10.1016/j.ceramint.2025.05.011,0.274
10.1016/j.cjca.2024.06.027,0.313
10.1016/j.cjca.2024.12.020,0.293
10.1016/j.cjco.2025.01.017,0.322
10.1016/j.compbiomed.2025.110782,0.286
10.1016/j.cpsurg.2024.101672,0.371
10.1016/j.cpsurg.2025.101719,0.312
10.1016/j.cpsurg.2025.101720,0.37
10.1016/j.cpsurg.2025.101791,0.298
10.1016/j.cpsurg.2025.101811,0.275
10.1016/j.cpsurg.2025.101813,0.282
10.1016/j.cpsurg.2025.101842,0.28
10.1016/j.cpsurg.2025.101843,0.297
10.1016/j.cpsurg.2025.101845,0.298
10.1016/j.cpsurg.2025.101847,0.275
10.1016/j.diagmicrobio.2025.116921,0.274
10.1016/j.dyepig.2025.112868,0.295
10.1016/j.ekir.2025.02.017,0.339
10.1016/j.ekir.2025.04.031,0.285
10.1016/j.endinu.2025.501612,0.305
