DOI,Latency_sec
10.7754/Clin.Lab.2016.161018,0.358
10.1371/journal.pone.0286550,0.439
10.1371/journal.pone.0254465,0.526
10.1371/journal.pone.0241685,0.368
10.1371/journal.pone.0239965,0.375
10.1371/journal.pone.0234145,0.376
10.1371/journal.pone.0221858,0.416
10.1371/journal.pone.0214212,0.384
10.1371/journal.pone.0196495,0.337
10.1371/journal.pone.0192556,0.333
10.1371/journal.pone.0192295,0.367
10.1371/journal.pone.0169436,0.381
10.1371/journal.pone.0168453,0.332
10.1371/journal.pone.0164710,0.326
10.1371/journal.pone.0122348,0.329
10.1371/journal.pone.0118972,0.369
10.1371/journal.pone.0112345,0.396
10.1371/journal.pone.0108814,0.364
10.1371/journal.pone.0108633,0.447
10.1371/journal.pone.0108537,0.343
10.1371/journal.pone.0105290,0.308
10.1371/journal.pone.0085544,0.363
10.1371/journal.pone.0083784,0.446
10.1371/journal.pone.0077302,0.396
10.1371/journal.pone.0064132,0.366
10.1371/journal.pone.0053571,0.342
10.1371/journal.pone.0053475,0.34
10.1371/journal.pone.0049683,0.421
10.1371/journal.pone.0023788,0.333
10.1371/journal.pone.0013488,0.419
10.1371/journal.pone.0008018,0.366
10.1371/journal.pone.0004032,0.28
10.1371/journal.pone.0000796,0.329
10.1371/journal.pone.0000737,0.344
10.1371/journal.pgen.1000807,0.35
10.1371/journal.pbio.3000218,0.342
10.1021/bi201270q,0.336
